user_input,expected_output,granite328,llama318,mixtral8x7,llama3370
Find the hospital with the highest patient satisfaction score in 2022.,"
        {
            ""metrics"": [45],
            ""scope"": ""hospital"",
            ""scopeIds"": [""HOSP789""],
            ""year"": 2022,
            ""for"": ""treatment"",
            ""forId"": ""satisfaction"",
            ""sortBy"": ""leader"",
            ""top"": 1
        }
        ","{'metrics': [45], 'scope': 'hospital', 'scopeIds': ['001'], 'year': 2022, 'for': 'patient', 'sortBy': 'leader', 'top': 1}","{'metrics': [45], 'scope': 'hospital', 'scopeIds': ['001'], 'year': 2022, 'for': 'patient', 'forId': '001', 'groupBy': ['hospital'], 'sortBy': 'leader', 'top': 1}","{'metrics': [45], 'scope': 'hospital', 'year': 2022, 'for': 'hospital', 'sortBy': 'leader', 'top': 1}","{'metrics': [45], 'scope': 'hospital', 'scopeIds': ['001'], 'year': 2022, 'for': 'patient', 'vs': True, 'groupBy': ['hospital'], 'sortBy': 'descending', 'top': 1}"
Show me the clinics with the best infection prevention rates.,"
        {
            ""metrics"": [48],
            ""scope"": ""clinic"",
            ""sortBy"": ""leader"",
            ""top"": 3,
            ""for"": ""treatment"",
            ""forId"": ""prevention""
        }
        ","{'metrics': [48], 'scope': 'clinic', 'for': 'staff', 'sortBy': 'descending', 'top': 5}","{'metrics': [48], 'scope': 'clinic', 'scopeIds': ['001'], 'year': 2023, 'for': 'staff', 'groupBy': ['clinic'], 'sortBy': 'leader', 'top': 10}","{'metrics': [48], 'scope': 'clinic', 'for': 'clinic', 'sortBy': 'leader', 'groupBy': ['clinic']}","{'metrics': [48], 'scope': 'clinic', 'for': 'patient', 'vs': True, 'sortBy': 'leader', 'top': 10, 'year': 2023, 'scopeIds': ['001']}"
Which clinics have the highest average daily admissions?,"
        {
            ""metrics"": [46],
            ""scope"": ""clinic"",
            ""sortBy"": ""leader"",
            ""top"": 5,
            ""for"": ""patient"",
            ""forId"": ""admissions""
        }
        ","{'metrics': [46], 'scope': 'clinic', 'for': 'patient', 'groupBy': ['clinic'], 'sortBy': 'leader'}","{'metrics': [46], 'scope': 'clinic', 'scopeIds': ['001'], 'year': 2023, 'for': 'staff', 'groupBy': ['clinic'], 'sortBy': 'leader', 'top': 10}","{'metrics': [46], 'scope': 'clinic', 'for': 'clinic', 'sortBy': 'leader', 'top': 10}","{'metrics': [46], 'scope': 'clinic', 'for': 'patient', 'groupBy': ['clinic'], 'sortBy': 'descending', 'top': 10}"
Show hospitals with a patient recovery rate of 90% or higher in 2023.,"
        {
            ""metrics"": [165],
            ""scope"": ""hospital"",
            ""filters"": [
                {
                    ""metric"": ""PRR"",
                    ""filterType"": ""above or equal"",
                    ""value"": 90
                }
            ],
            ""for"": ""patient"",
            ""year"": 2023
        }
        ","{'metrics': [165], 'scope': 'hospital', 'scopeIds': ['001'], 'year': 2023, 'for': 'patient', 'filters': [{'metric': 'prr', 'filterType': 'above or equal', 'value': 0.9}]}","{'metrics': [165], 'scope': 'hospital', 'scopeIds': ['001'], 'year': 2023, 'for': 'patient', 'vs': False, 'sortBy': 'leader', 'top': 0, 'filters': [{'metric': 'prr (patient recovery rate)', 'filterType': 'above or equal', 'value': 90}]}","{'metrics': [165], 'scope': 'hospital', 'year': 2023, 'for': 'hospital', 'filters': [{'metric': 'prr', 'filterType': 'above or equal', 'value': 90}]}","{'metrics': [165], 'scope': 'hospital', 'scopeIds': ['001'], 'year': 2023, 'for': 'patient', 'filters': [{'metric': 'prr', 'filterType': 'above or equal', 'value': 90}]}"
List all hospitals with a medication error rate below 5%.,"
        {
            ""metrics"": [12],
            ""scope"": ""hospital"",
            ""filters"": [
                {
                    ""metric"": ""MER"",
                    ""filterType"": ""below"",
                    ""value"": 5
                }
            ],
            ""for"": ""treatment"",
            ""year"": 2023
        }
        ","{'metrics': [12], 'scope': 'hospital', 'scopeIds': ['001'], 'for': 'staff', 'vs': False, 'filters': [{'metric': 'mer', 'filterType': 'below', 'value': 5}]}","{'metrics': [12], 'scope': 'hospital', 'scopeIds': ['001'], 'year': 2023, 'for': 'hospital', 'groupBy': ['hospital'], 'sortBy': 'leader', 'top': 0, 'filters': [{'metric': 'mer (medication error rate)', 'filterType': 'below', 'value': 5}]}","{'metrics': [12], 'scope': 'hospital', 'year': 2023, 'for': 'hospital', 'filters': [{'metric': 'mer', 'filterType': 'below or equal', 'value': 5}]}","{'metrics': [12], 'scope': 'hospital', 'scopeIds': ['001'], 'year': 2023, 'for': 'hospital', 'filters': [{'metric': 'mer', 'filterType': 'below', 'value': 5}]}"
Which clinics performed the most surgeries in 2023?,"
        {
            ""metrics"": [52],
            ""scope"": ""clinic"",
            ""sortBy"": ""leader"",
            ""top"": 3,
            ""for"": ""treatment"",
            ""forId"": ""surgery""
        }
        ","{'metrics': [52], 'scope': 'clinic', 'for': 'treatment', 'sortBy': 'descending', 'top': 5}","{'metrics': [52], 'scope': 'clinic', 'scopeIds': ['001'], 'year': 2023, 'for': 'staff', 'groupBy': ['clinic'], 'sortBy': 'descending', 'top': 10}","{'metrics': [52], 'scope': 'clinic', 'year': 2023, 'for': 'clinic', 'sortBy': 'leader', 'top': 10}","{'metrics': [52], 'scope': 'clinic', 'year': 2023, 'for': 'treatment', 'vs': True, 'groupBy': ['clinic'], 'sortBy': 'descending', 'top': 10}"
Find hospitals with a daily average of more than 5 successful surgeries.,"
        {
            ""metrics"": [50],
            ""scope"": ""hospital"",
            ""filters"": [
                {
                    ""metric"": ""SSR"",
                    ""filterType"": ""above"",
                    ""value"": 5
                }
            ],
            ""for"": ""treatment"",
            ""year"": 2023
        }
        ","{'metrics': [50], 'scope': 'hospital', 'for': 'hospital', 'filters': [{'metric': 'ads', 'filterType': 'above', 'value': 5}]}","{'metrics': [50], 'scope': 'hospital', 'scopeIds': ['001'], 'year': 2023, 'for': 'staff', 'forId': '001', 'vs': False, 'sortBy': 'leader', 'top': 0, 'filters': [{'metric': 'ads', 'filterType': 'above', 'value': 5}]}","{'metrics': [50], 'scope': 'hospital', 'for': 'hospital', 'vs': False, 'filters': [{'metric': 'ads', 'filterType': 'above', 'value': 5}]}","{'metrics': [52], 'scope': 'hospital', 'scopeIds': ['001'], 'year': 2023, 'for': 'treatment', 'vs': False, 'top': 0, 'filters': [{'metric': 'ads', 'filterType': 'above', 'value': 5}]}"
Show clinics with more than 200 daily consultations on average.,"
        {
            ""metrics"": [47],
            ""scope"": ""clinic"",
            ""filters"": [
                {
                    ""metric"": ""ADC"",
                    ""filterType"": ""above"",
                    ""value"": 200
                }
            ],
            ""for"": ""patient"",
            ""year"": 2023
        }
        ","{'metrics': [47], 'scope': 'clinic', 'for': 'clinic', 'filters': [{'metric': 'adc', 'filterType': 'above', 'value': 200}]}","{'metrics': [47], 'scope': 'clinic', 'scopeIds': ['001'], 'year': 2023, 'for': 'staff', 'groupBy': ['year', 'clinic'], 'sortBy': 'ascending', 'top': 10, 'filters': [{'metric': 'adc (average daily consultations)', 'filterType': 'above', 'value': 200}]}","{'metrics': [47], 'scope': 'clinic', 'for': 'clinic', 'year': 2023, 'filters': [{'metric': 'adc', 'filterType': 'above', 'value': 200}]}","{'metrics': [47], 'scope': 'clinic', 'filters': [{'metric': 'adc', 'filterType': 'above', 'value': 200}], 'for': 'clinic'}"
Find the hospital with the highest average daily discharges.,"
        {
            ""metrics"": [51],
            ""scope"": ""hospital"",
            ""sortBy"": ""leader"",
            ""top"": 1,
            ""for"": ""patient"",
            ""forId"": ""discharges""
        }
        ","{'metrics': [51], 'scope': 'hospital', 'scopeIds': ['001'], 'year': 2023, 'for': 'patient', 'sortBy': 'leader', 'top': 1}","{'metrics': [51], 'scope': 'hospital', 'scopeIds': ['001'], 'year': 2023, 'for': 'hospital', 'groupBy': ['hospital'], 'sortBy': 'leader', 'top': 1}","{'metrics': [51], 'scope': 'hospital', 'for': 'hospital', 'sortBy': 'leader'}","{'metrics': [51], 'scope': 'hospital', 'for': 'patient', 'groupBy': ['hospital'], 'sortBy': 'descending', 'top': 1}"
Which hospital had the most daily admissions in 2022?,"
        {
            ""metrics"": [46],
            ""scope"": ""hospital"",
            ""year"": 2022,
            ""sortBy"": ""leader"",
            ""top"": 1,
            ""for"": ""patient"",
            ""forId"": ""admissions""
        }
        ","{'metrics': [46], 'scope': 'hospital', 'scopeIds': ['001'], 'year': 2022, 'for': 'patient', 'groupBy': ['year'], 'sortBy': 'leader', 'top': 1}","{'metrics': [46], 'scope': 'hospital', 'scopeIds': ['001'], 'year': 2022, 'for': 'hospital', 'groupBy': ['hospital'], 'sortBy': 'leader', 'top': 1}","{'metrics': [46], 'scope': 'hospital', 'year': 2022, 'for': 'hospital', 'groupBy': ['year'], 'sortBy': 'descending', 'top': 1}","{'metrics': [46], 'scope': 'hospital', 'scopeIds': ['001'], 'year': 2022, 'for': 'patient', 'vs': True, 'groupBy': ['hospital'], 'sortBy': 'descending', 'top': 1}"
Show me the clinic with the lowest medication error rate in 2023.,"
        {
            ""metrics"": [12],
            ""scope"": ""clinic"",
            ""year"": 2023,
            ""sortBy"": ""leader"",
            ""top"": 1,
            ""for"": ""treatment"",
            ""forId"": ""medication""
        }
        ","{'metrics': [12], 'scope': 'clinic', 'for': 'staff', 'vs': False, 'groupBy': ['year'], 'sortBy': 'leader', 'top': 1}","{'metrics': [12], 'scope': 'clinic', 'scopeIds': ['001'], 'year': 2023, 'for': 'staff', 'groupBy': ['clinic'], 'sortBy': 'leader', 'top': 1}","{'metrics': [12], 'scope': 'clinic', 'year': 2023, 'for': 'clinic', 'sortBy': 'ascending', 'top': 1}","{'metrics': [12], 'scope': 'clinic', 'year': 2023, 'for': 'treatment', 'vs': True, 'sortBy': 'descending', 'top': 1}"
Find clinics with a successful surgery rate above 80%.,"
        {
            ""metrics"": [50],
            ""scope"": ""clinic"",
            ""filters"": [
                {
                    ""metric"": ""SSR"",
                    ""filterType"": ""above"",
                    ""value"": 80
                }
            ],
            ""for"": ""treatment"",
            ""year"": 2023
        }
        ","{'metrics': [50], 'scope': 'clinic', 'for': 'treatment', 'filters': [{'metric': 'ssr', 'filterType': 'above', 'value': 0.8}]}","{'metrics': [50], 'scope': 'clinic', 'scopeIds': ['001'], 'year': 2023, 'for': 'staff', 'forId': '001', 'vs': False, 'sortBy': 'leader', 'top': 0}","{'metrics': [50], 'scope': 'clinic', 'for': 'clinic', 'filters': [{'metric': 'ssr', 'filterType': 'above', 'value': 80}]}","{'metrics': [50], 'scope': 'clinic', 'for': 'treatment', 'filters': [{'metric': 'ssr', 'filterType': 'above', 'value': 80}]}"
